segmentId,name_vn,lat_start,lon_start,lat_end,lon_end,laneCount_aggregated,speedLimit,frc,roadType,surface,oneway,width,ref,currentSpeed,freeFlowSpeed,jamFactor,congestionIndex,trafficVolume,occupancy,incidentFlag,LOS,crossTime,busRoute,bicycleLane,sidewalk,bridgeTunnel,maxHeight,maxWeight,barrier,lit,crossing,curvatureIndex,bearing,lengthKm,timeStamp,dayOfWeek,speedLimitRatio,relativeCongestionIndex,routeSlopePercent,intersectionCount,hourOfDay,dayType
0e35dfac884bf618c653cc984ca40222,Đại Lộ 3,10.8136383,106.7753601,10.8131985,106.7686852,2.0,50.0,FRC4,tertiary,asphalt,yes,,,22.0,37.0,0.0,0.5945945945945946,2179.46,40.54054054054054,0,C,0.08181818181818182,,,,,,,,,,0.007115,266.16298934353523,0.7315577504720071,2603090801,0,0.44,0.40540540540540543,-0.9568622566685326,2,8,Weekday
444c90dbab5fb43ac25e4e7b3069667e,Đường Kinh Dương Vương,10.7379148,106.6147828,10.7377688,106.6146944,1.0,50.0,FRC2,residential,asphalt,,,,26.0,35.0,0.0,0.7428571428571429,822.86,25.71428571428571,0,B,0.06923076923076923,,,,,,,,,,0.000234,210.74746906466493,0.01882296141008359,2603090802,0,0.52,0.2571428571428571,0.0,4,8,Weekday
e1fda064de6cd569c93337cdac6a2683,Đường Huỳnh Tấn Phát,10.6783267,106.753584,10.7525133,106.7282216,2.5,50.0,FRC3,secondary,,,,,23.5,35.0,0.0,0.6714285714285714,2378.57,32.85714285714286,0,C,0.07659574468085106,,,,,,,,,,0.099549,341.43455141198854,8.662302131154227,2603090803,0,0.47,0.32857142857142857,-0.12698702762211644,2,8,Weekday
bf38e868e866399a9490283a25255d1d,Đường Quốc Lộ 1A,10.8599881,106.6986862,10.859221,106.7052214,1.5,50.0,FRC1,residential,asphalt,,,,35.0,48.0,0.0,0.7291666666666666,1271.25,27.083333333333336,0,B,0.051428571428571435,,,,,,,,,,0.007302,96.81505145145422,0.7195722623640338,2603090803,0,0.7,0.2708333333333333,0.9728001433799958,4,8,Weekday
a8358e6b21b29c958798a96d7ac8e39c,Đường Lê Văn Sỹ,10.7984947,106.6626344,10.7979599,106.6628737,1.0,50.0,FRC2,residential,asphalt,,,,16.0,38.0,0.0,0.42105263157894735,1402.11,57.89473684210527,0,D,0.11249999999999999,,,,,,,,,,0.000774,156.27286120240217,0.06468620494551222,2603090803,0,0.32,0.5789473684210527,-1.5459246694752615,1,8,Weekday
d81af31114067415631b1c2307ba4261,Đường Phú Thọ,10.7589846,106.641575,10.7589257,106.641586,2.0,50.0,FRC4,secondary,asphalt,,,,19.0,31.0,0.0,0.6129032258064516,2113.55,38.70967741935484,0,C,0.09473684210526316,,,,,,,,,,7e-05,169.60332975120218,0.006625262834820572,2603090803,0,0.38,0.3870967741935484,0.0,4,8,Weekday
3569d379d4fd684d7643c11f1ab33a61,Đường Vũ Huy Tấn,10.7959469,106.6927346,10.7956893,106.6961219,1.0,50.0,FRC2,residential,,,,,15.0,31.0,0.0,0.4838709677419355,1289.03,51.61290322580645,0,D,0.12,,,,,,,,,,0.003645,94.4266350762673,0.37153642715630697,2603090804,0,0.3,0.5161290322580645,1.0766104499134839,5,8,Weekday
ddba054645927d488ac5ce38f7733b99,Đường Lê Hồng Phong,10.760492,106.6770991,10.7663147,106.6749228,1.5,50.0,FRC4,secondary,asphalt,yes,,,25.0,36.0,0.0,0.6944444444444444,1365.0,30.555555555555557,0,C,0.072,,,,,,,,,,0.007999,339.8376935119911,0.6866439210241753,2603090804,0,0.5,0.3055555555555556,0.43690767632884586,3,8,Weekday
89479dc4a7719faf7acf04a66a8cac89,Đường Bạch Đằng,10.8133493,106.6648995,10.8130718,106.6649688,4.0,60.0,FRC2,primary,asphalt,yes,,,18.0,34.0,0.0,0.5294117647058824,4828.24,47.05882352941176,0,C,0.1,,,,,,,,,,0.000347,166.21771990750608,0.031616884226789856,2603090804,0,0.3,0.47058823529411764,0.0,2,8,Weekday
e5e232dd1ecdfa053e24715dba274d25,Đường Hoàng Sa,10.7794508,106.6785811,10.7840477,106.6803024,2.0,50.0,FRC2,primary,asphalt,no,,,15.0,30.5,0.0,0.4918032786885246,2549.51,50.81967213114754,0,D,0.12,,,both,,,,,,,0.006318,20.195270083606715,0.5422074173756464,2603090804,0,0.3,0.5081967213114754,1.2910188565624756,4,8,Weekday
